Réutilisation,Jeu de données du top 100,Lien du jeu de données,Thématique,Type,Réutilisateur,Lien de la réutilisation,Absence de réutilisations de qualité sur le jdd,Commentaires,Top 100 actuel
Site particuliers Gorenove.fr CSTB,"Base Adresse Nationale, Base des permis de construire et autres autorisations d'urbanisme (Sitadel), Quartiers prioritaires de la politique de la ville (QPV)",https://www.data.gouv.fr/fr/datasets/quartiers-prioritaires-de-la-politique-de-la-ville-qpv/#/community-reuses,Politique et vie publique,Application,CSTB,https://www.data.gouv.fr/fr/reuses/site-particuliers-gorenove-fr-cstb/,No,,No
Ekylibre,"Base Sirene des entreprises et de leurs établissements (SIREN SIRET), Cadastre, Données ouvertes du catalogue E-Phy des produits phytopharmaceutiques matières fertilisantes et supports de culture adjuvants produits mixtes et mélanges, Registre parcellaire graphique (RPG) : contours des parcelles et îlots culturaux et leur groupe de cultures majoritaire",http://www.data.gouv.fr/fr/datasets/donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges/,Agriculture et alimentation,Application,Ekylibre,https://www.data.gouv.fr/fr/reuses/ekylibre/,No,,No
PhytoPharma: Catalogue Produits phytosanitaires,Données ouvertes du catalogue E-Phy des produits phytopharmaceutiques matières fertilisantes et supports de culture adjuvants produits mixtes et mélanges,http://www.data.gouv.fr/fr/datasets/donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges/,Agriculture et alimentation,Application,,https://www.data.gouv.fr/fr/reuses/phytopharma-catalogue-produits-phytosanitaires/,No,,Yes
Parcelles traitables aux herbicides selon les bassins versants (Ouest Bretagne - 2021),"Données ouvertes du catalogue E-Phy des produits phytopharmaceutiques matières fertilisantes et supports de culture adjuvants produits mixtes et mélanges, Parcelles en Agriculture Biologique (AB) déclarées à la PAC",http://www.data.gouv.fr/fr/datasets/donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges/,Agriculture et alimentation,Visualisation,Alexis Bourgoin,https://www.data.gouv.fr/fr/reuses/parcelles-traitables-aux-herbicides-selon-les-bassins-versants-ouest-bretagne-2021/,No,,No
Carte des Installations Classées pour la Protection de l’Environnement,Base des installations classés (ICPE),https://www.data.gouv.fr/fr/datasets/base-des-installations-classees-icpe/#/community-reuses,Environnement et énergie,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/carte-des-installations-classees-pour-la-protection-de-lenvironnement/,No,,Yes
TerraVisu,Zones d'Aide à finalité régionale (AFR),http://www.data.gouv.fr/fr/datasets/zones-daide-a-finalite-regionale-afr/,Politique et vie publique,Visualisation,Makina Corpus,https://www.data.gouv.fr/fr/reuses/terravisu-zonages-de-politiques-publiques/,No,,Yes
Carte interactive des zones d'aides à finalité régionale (AFR),Zones d'Aide à finalité régionale (AFR),http://www.data.gouv.fr/fr/datasets/zones-daide-a-finalite-regionale-afr/,Politique et vie publique,Visualisation,Observatoire des territoires,https://www.data.gouv.fr/fr/reuses/carte-interactive-des-zones-daides-a-finalite-regionale-afr/,No,,No
,Naissances par jour déclarées à l'Etat Civil,http://www.data.gouv.fr/fr/datasets/naissances-par-jour-declarees-a-letat-civil/,,,,,Yes,,No
Surtaxe des résidences secondaires : quel taux s'applique dans votre commune ?,Impôts locaux : fichier de recensement des éléments d'imposition à la fiscalité directe locale (REI),http://www.data.gouv.fr/fr/datasets/impots-locaux-fichier-de-recensement-des-elements-dimposition-a-la-fiscalite-directe-locale-rei-3/,Politique et vie publique,Article de presse,Fig Data,https://www.data.gouv.fr/fr/reuses/surtaxe-des-residences-secondaires-quel-taux-sapplique-dans-votre-commune/,No,,Yes
Tableau de bord de suivi de l'épidémie de coronavirus en France,"Données hospitalières relatives à l'épidémie de COVID-19, Données relatives aux personnes vaccinées contre la Covid-19, Indicateurs de suivi de l’épidémie de COVID-19, Lieux de vaccination contre la Covid-19, OLD Taux d'incidence de l'épidémie de COVID-19",http://www.data.gouv.fr/fr/datasets/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19/,Santé,Application,Gouvernement,https://www.data.gouv.fr/fr/reuses/tableau-de-bord-de-suivi-de-lepidemie-de-coronavirus-en-france/,No,,Yes
