Réutilisation,Jeu de données du top 100,Lien du jeu de données,Thématique,Type,Réutilisateur,Lien de la réutilisation,Absence de réutilisations de qualité sur le jdd,Commentaires,Top 100 actuel
TerraVisu - Loyers d'annonce d'appartements moyens au m² par commune,"""Carte des loyers"" - Indicateurs de loyers d'annonce par commune en 2022",http://www.data.gouv.fr/fr/datasets/carte-des-loyers-indicateurs-de-loyers-dannonce-par-commune-en-2022/,Logement et urbanisme,Visualisation,Makina Corpus,https://www.data.gouv.fr/fr/reuses/terravisu-loyers-dannonce-dappartements-moyens-au-m2-par-commune/,No,,Yes
Où vivre - Indicateurs de loyers appartement et maison,"""Carte des loyers"" - Indicateurs de loyers d'annonce par commune en 2022",http://www.data.gouv.fr/fr/datasets/carte-des-loyers-indicateurs-de-loyers-dannonce-par-commune-en-2022/,Logement et urbanisme,Visualisation,Où vivre,https://www.data.gouv.fr/fr/reuses/ou-vivre-indicateurs-de-loyers-appartement-et-maison/,No,,No
iudo.co,"Base Adresse Nationale, Base de données nationale des bâtiments, Base des permis de construire et autres autorisations d'urbanisme (Sitadel), Cadastre, Demandes de valeurs foncières géolocalisées",https://www.data.gouv.fr/fr/datasets/base-adresse-nationale/,Aménagement du territoire,Application,iudo.co,https://www.data.gouv.fr/fr/reuses/iudo-app/,No,,No
Portrait des Petites Villes de Demain,"""Carte des loyers"" - Indicateurs de loyers d'annonce par commune en 2022",http://www.data.gouv.fr/fr/datasets/carte-des-loyers-indicateurs-de-loyers-dannonce-par-commune-en-2022/,Logement et urbanisme,Visualisation,Spallian,https://www.data.gouv.fr/fr/reuses/portrait-des-petites-villes-de-demain/,No,,No
Place des Entreprises - Le service public des TPE & PME pour un conseil personnalisé et de proximité,Base Adresse Nationale,https://www.data.gouv.fr/fr/datasets/base-adresse-nationale/,Economie et entreprise,Application,Place des entreprises,https://www.data.gouv.fr/fr/reuses/place-des-entreprises-le-service-public-des-tpe-pme-pour-un-conseil-personnalise-et-de-proximite/,No,,Yes
Ici,Base Adresse Nationale,https://www.data.gouv.fr/fr/datasets/base-adresse-nationale/,,Application,Julien Dubedout,https://www.data.gouv.fr/fr/reuses/ici/,No,,No
Plaques du matrimoine,Base Adresse Nationale,https://www.data.gouv.fr/fr/datasets/base-adresse-nationale/,Aménagement du territoire,Visualisation,Philippe Gambette,https://www.data.gouv.fr/fr/reuses/plaques-du-matrimoine/,No,,No
,Mariages par jour déclarés à l'État Civil,http://www.data.gouv.fr/fr/datasets/mariages-par-jour-declares-a-letat-civil/,,,,,Yes,,No
Itineriz - Déplacements professionnels JOP Paris 2024,Base Adresse Nationale,https://www.data.gouv.fr/fr/datasets/base-adresse-nationale/,Transports et mobilité,Visualisation,Allohouston,https://www.data.gouv.fr/fr/reuses/itineriz-deplacements-professionnels-jop-paris-2024/,No,,No
,Base des sols pollués,http://www.data.gouv.fr/fr/datasets/base-des-sols-pollues/,,,,,Yes,,Yes
meteo-parapente.com,"Contours des départements français issus d'OpenStreetMap, Découpage administratif communal français issu d'OpenStreetMap",https://www.data.gouv.fr/fr/datasets/decoupage-administratif-communal-francais-issu-d-openstreetmap/,Culture et loisirs,Application,OpenStreetMap France,https://www.data.gouv.fr/fr/reuses/meteo-parapente-com/,No,,No
GéoGrappe,Découpage administratif communal français issu d'OpenStreetMap,https://www.data.gouv.fr/fr/datasets/decoupage-administratif-communal-francais-issu-d-openstreetmap/,Agriculture et alimentation,Application,GéoGrappe,https://www.data.gouv.fr/fr/reuses/geograppe/,No,,Yes
Villagile,Découpage administratif communal français issu d'OpenStreetMap,https://www.data.gouv.fr/fr/datasets/decoupage-administratif-communal-francais-issu-d-openstreetmap/,Aménagement du territoire,Application,Suez Smart Solutions,https://www.data.gouv.fr/fr/reuses/villagile/,No,,No
,Données essentielles de la commande publique - fichiers consolidés,http://www.data.gouv.fr/fr/datasets/donnees-essentielles-de-la-commande-publique-fichiers-consolides/,,,,,Yes,,Yes
,Emplacement des distributeurs de préservatifs,http://www.data.gouv.fr/fr/datasets/emplacement-des-distributeurs-de-preservatifs-rdl/,,,,,Yes,,No
Calendrier scolaire,Le calendrier scolaire,https://www.data.gouv.fr/fr/datasets/le-calendrier-scolaire/#/community-reuses,Education et recherche,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/calendrier-scolaire/,No,,Yes
Diagnostic mobilité,Contours des communes de France simplifié avec régions et département d'outre-mer rapprochés,https://www.data.gouv.fr/fr/datasets/contours-des-communes-de-france-simplifie-avec-regions-et-departement-doutre-mer-rapproches/#/community-reuses,Transports et mobilité,Application,Bruno Iratchet,https://www.data.gouv.fr/fr/reuses/diagnostic-mobilite/,No,,Yes
,Valeurs immobilières économiques et financières de 1800 à 2020,https://www.data.gouv.fr/fr/datasets/valeurs-immobilieres-economiques-et-financieres-de-1800-a-2020/,,,,,Yes,,No
Carte intéractive du taux de la taxe foncière sur les propriétés bâties par commune en 2023,Contours des communes de France simplifié avec régions et département d'outre-mer rapprochés,https://www.data.gouv.fr/fr/datasets/contours-des-communes-de-france-simplifie-avec-regions-et-departement-doutre-mer-rapproches/#/community-reuses,Politique et vie publique,Visualisation,Alexis Marion,https://www.data.gouv.fr/fr/reuses/carte-interactive-du-taux-de-la-taxe-fonciere-sur-les-proprietes-baties-par-commune-en-2023/,No,,No
"Où Débroussailler, application de visualisation des obligations légales de débroussaillement",Cadastre,http://www.data.gouv.fr/fr/datasets/cadastre/,Environnement et énergie,Application,optim.aize,https://www.data.gouv.fr/fr/reuses/ou-debroussailler-application-de-visualisation-des-obligations-legales-de-debroussaillement/,No,,Yes
CartoBio,"Cadastre, Parcelles en Agriculture Biologique (AB) déclarées à la PAC",http://www.data.gouv.fr/fr/datasets/cadastre/,Agriculture et alimentation,Application,CartoBio,https://www.data.gouv.fr/fr/reuses/cartobio/,No,,No
,Inventaire des sites pollués,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,,,,,Yes,,No
,Liste des Immeubles protégés au titre des Monuments Historiques (archives),http://www.data.gouv.fr/fr/datasets/liste-des-immeubles-proteges-au-titre-des-monuments-historiques-archives/,,,,,Yes,,No
,Indicateurs de suivi de l’épidémie de COVID-19,https://www.data.gouv.fr/fr/datasets/indicateurs-de-suivi-de-lepidemie-de-covid-19/,,,,,No,,No
,OLD Données relatives aux résultats des tests virologiques COVID-19,https://www.data.gouv.fr/fr/datasets/old-donnees-relatives-aux-resultats-des-tests-virologiques-covid-19/?reuses_page=3#community-reuses,,,,,No,,No
Changement climatique : combien de canicules chez vous ?,Contours des départements français issus d'OpenStreetMap,https://www.data.gouv.fr/fr/datasets/contours-des-departements-francais-issus-d-openstreetmap/,Environnement et énergie,Application,Callendar,https://www.data.gouv.fr/fr/reuses/changement-climatique-combien-de-canicules-chez-vous/,No,,Yes
Site cartographique - CarteFibre,Le marché du haut et très haut débit fixe (déploiements),https://www.data.gouv.fr/fr/datasets/le-marche-du-haut-et-tres-haut-debit-fixe-deploiements/?reuses_page=2#community-reuses,Aménagement du territoire,Visualisation,ARCEP,https://www.data.gouv.fr/fr/reuses/site-cartographique-cartefibre/,No,,Yes
,Catalogue des données de data.gouv.fr,https://www.data.gouv.fr/fr/datasets/catalogue-des-donnees-de-data-gouv-fr/#/community-reuses,,,,,Yes,,Yes
,Prix des Terrains à batir en France,http://www.data.gouv.fr/fr/datasets/prix-des-terrains-a-batir-en-france/,,,,,Yes,,No
,Lieux de vaccination Covid-19 (pharmacies) - Santé.fr,http://www.data.gouv.fr/fr/datasets/lieux-de-vaccination-covid-19-pharmacies-sante-fr/,,,,,Yes,,No
Les coiffeurs sont des blagueurs,Base Sirene des entreprises et de leurs établissements (SIREN SIRET),http://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Economie et entreprise,Visualisation,Tif Air,https://www.data.gouv.fr/fr/reuses/les-coiffeurs-sont-des-blagueurs/,No,,Yes
Signaux Faibles,"BODACC, Base Sirene des entreprises et de leurs établissements (SIREN SIRET)",http://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Economie et entreprise,Application,"Ministère de l’économie, des finances et de la souveraineté industrielle et numérique",https://www.data.gouv.fr/fr/reuses/signaux-faibles-outil-de-detection-des-entreprises-en-risque-de-defaillance/,No,,No
Place des Entreprises - Le service public des TPE & PME pour un conseil personnalisé et de proximité,Base Sirene des entreprises et de leurs établissements (SIREN SIRET),http://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Economie et entreprise,Application,"Ministère de l’économie, des finances et de la souveraineté industrielle et numérique",https://www.data.gouv.fr/fr/reuses/place-des-entreprises-le-service-public-des-tpe-pme-pour-un-conseil-personnalise-et-de-proximite/,No,,No
Carte de la densité des professionnels de santé en France,Base Sirene des entreprises et de leurs établissements (SIREN SIRET),http://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Economie et entreprise,Visualisation,Arctique,https://www.data.gouv.fr/fr/reuses/carte-de-la-densite-des-professionnels-de-sante-en-france/,No,,No
Dataviz Petites Villes de Demain,Base Sirene des entreprises et de leurs établissements (SIREN SIRET),http://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Economie et entreprise,Visualisation,Spallian / Banque des territoires,https://www.data.gouv.fr/fr/reuses/dataviz-petites-villes-de-demain/,No,,No
Moteur de recherche des personnes décédées (matchID),Fichier des personnes décédées,https://www.data.gouv.fr/fr/datasets/fichier-des-personnes-decedees/,Société et démographie,Application,,https://www.data.gouv.fr/fr/reuses/moteur-de-recherche-des-personnes-decedees-matchid/,No,,Yes
INSEEHOP : algorithme libre sous R d'appariement massif au fichier des personnes décédées,Fichier des personnes décédées,https://www.data.gouv.fr/fr/datasets/fichier-des-personnes-decedees/,Société et démographie,,Vianney GUARDIOLLE,https://www.data.gouv.fr/fr/reuses/inseehop-algorithme-libre-sous-r-dappariement-massif-au-fichier-des-personnes-decedees/,No,,No
Plateforme de recherches des personnes décédées,Fichier des personnes décédées,https://www.data.gouv.fr/fr/datasets/fichier-des-personnes-decedees/,Société et démographie,Application,Florian Cassayre,https://www.data.gouv.fr/fr/reuses/plateforme-de-recherches-des-personnes-decedees/,No,,No
Décès en France,Fichier des personnes décédées,https://www.data.gouv.fr/fr/datasets/fichier-des-personnes-decedees/,Société et démographie,Application,WebLogin,https://www.data.gouv.fr/fr/reuses/deces-en-france/,No,,No
Age des personnes décédées,Fichier des personnes décédées,https://www.data.gouv.fr/fr/datasets/fichier-des-personnes-decedees/,Société et démographie,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/age-des-personnes-decedees/,No,,No
,OLD Taux d'incidence de l'épidémie de COVID-19,http://www.data.gouv.fr/fr/datasets/old-taux-dincidence-de-lepidemie-de-covid-19/,,,,,Yes,,Yes
Batisto,Base de données nationale des bâtiments,http://www.data.gouv.fr/fr/datasets/base-de-donnees-nationale-des-batiments/,Logement et urbanisme,Application,https://www.data.gouv.fr/fr/organizations/direction-regionale-et-interdepartementale-de-lenvironnement-de-lamenagement-et-des-transports-1/,https://www.data.gouv.fr/fr/reuses/batistato/,No,,Yes
Zéro Logement Vacant,Base de données nationale des bâtiments,http://www.data.gouv.fr/fr/datasets/base-de-donnees-nationale-des-batiments/,Logement et urbanisme,Application,Zéro Logement Vacant,https://www.data.gouv.fr/fr/reuses/cibler-les-passoires-energetiques/,No,,No
France Chaleur Urbaine,Base de données nationale des bâtiments,http://www.data.gouv.fr/fr/datasets/base-de-donnees-nationale-des-batiments/,Logement et urbanisme,Application,France Chaleur Urbaine,https://www.data.gouv.fr/fr/reuses/carte-france-chaleur-urbaine/,No,,No
Application Gorenove Bailleurs,Base de données nationale des bâtiments,http://www.data.gouv.fr/fr/datasets/base-de-donnees-nationale-des-batiments/,Logement et urbanisme,Application,CSTB,https://www.data.gouv.fr/fr/reuses/application-gorenove-bailleurs/,No,,No
Site particuliers Gorenove.fr,Base de données nationale des bâtiments,http://www.data.gouv.fr/fr/datasets/base-de-donnees-nationale-des-batiments/,Logement et urbanisme,Application,CSTB,https://www.data.gouv.fr/fr/reuses/site-particuliers-gorenove-fr-cstb/,No,,No
,Entreprises du Patrimoine Vivant,http://www.data.gouv.fr/fr/datasets/entreprises-du-patrimoine-vivant/,,,,,Yes,,No
Analyse exploratoire,Fichier consolidé des Bornes de Recharge pour Véhicules Électriques,http://www.data.gouv.fr/fr/datasets/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/,Transports et mobilité,Visualisation,Alexander Mikheev,https://www.data.gouv.fr/fr/reuses/analyse-exploratoire/,No,,Yes
EVPULSE,Fichier consolidé des Bornes de Recharge pour Véhicules Électriques,http://www.data.gouv.fr/fr/datasets/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/,Transports et mobilité,Visualisation,https://www.data.gouv.fr/fr/users/tarik-moussaoui-1/,,No,,No
Accessibilités des bornes de recharges pour voiture électriques,Fichier consolidé des Bornes de Recharge pour Véhicules Électriques,http://www.data.gouv.fr/fr/datasets/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/,Transports et mobilité,Visualisation,ODU,https://www.data.gouv.fr/fr/reuses/accessibilites-des-bornes-de-recharges-pour-voiture-electriques/,No,,No
TerraVisu - Part des parcelles cultivées en bio,Registre parcellaire graphique (RPG) : contours des parcelles et îlots culturaux et leur groupe de cultures majoritaire,https://www.data.gouv.fr/fr/datasets/registre-parcellaire-graphique-rpg-contours-des-parcelles-et-ilots-culturaux-et-leur-groupe-de-cultures-majoritaire/?reuses_page=2#community-reuses,Agriculture et alimentation,Visualisation,Makina Corpus,https://www.data.gouv.fr/fr/reuses/terravisu-part-des-parcelles-cultivees-en-bio/,No,,Yes
TerraVisu - Cultures,Registre parcellaire graphique (RPG) : contours des parcelles et îlots culturaux et leur groupe de cultures majoritaire,https://www.data.gouv.fr/fr/datasets/registre-parcellaire-graphique-rpg-contours-des-parcelles-et-ilots-culturaux-et-leur-groupe-de-cultures-majoritaire/?reuses_page=2#community-reuses,Agriculture et alimentation,Visualisation,Makina Corpus,https://www.data.gouv.fr/fr/reuses/terravisu-cultures/,No,,No
BeeGIS - Bee Geographic Information System,Registre parcellaire graphique (RPG) : contours des parcelles et îlots culturaux et leur groupe de cultures majoritaire,https://www.data.gouv.fr/fr/datasets/registre-parcellaire-graphique-rpg-contours-des-parcelles-et-ilots-culturaux-et-leur-groupe-de-cultures-majoritaire/?reuses_page=2#community-reuses,Agriculture et alimentation,Application,ITSAP,https://www.data.gouv.fr/fr/reuses/beegis-bee-geographic-information-system/,No,,No
Carte interactive des communes du programme Petites villes de demain (PVD),Programme Petites villes de demain,https://www.data.gouv.fr/fr/datasets/programme-petites-villes-de-demain/,Politique et vie publique,Visualisation,Observatoire des territoires,https://www.data.gouv.fr/fr/reuses/carte-interactive-des-communes-du-programme-petites-villes-de-demain-pvd/,No,,No
Terrains Connus,Registre parcellaire graphique (RPG) : contours des parcelles et îlots culturaux et leur groupe de cultures majoritaire,https://www.data.gouv.fr/fr/datasets/registre-parcellaire-graphique-rpg-contours-des-parcelles-et-ilots-culturaux-et-leur-groupe-de-cultures-majoritaire/?reuses_page=2#community-reuses,Aménagement du territoire,Visualisation,Terrains connus,https://www.data.gouv.fr/fr/reuses/terrains-connus/,No,,No
Annuaire de l'administration de Service Public,Service-public.fr - Annuaire de l’administration - Base de données locales,https://www.data.gouv.fr/fr/datasets/service-public-fr-annuaire-de-l-administration-base-de-donnees-locales/#/community-reuses,Politique et vie publique,Application,Premier ministre,https://www.data.gouv.fr/fr/reuses/annuaire-de-ladministration-de-service-public/,No,,Yes
PODOR : Plus de 2 milliards d'arbres géolocalisés en France,Service-public.fr - Annuaire de l’administration - Base de données locales,https://www.data.gouv.fr/fr/datasets/service-public-fr-annuaire-de-l-administration-base-de-donnees-locales/#/community-reuses,Environnement et énergie,Application,Garab AI,https://www.data.gouv.fr/fr/reuses/podor-plus-de-2-milliards-darbres-geolocalises-en-france/,No,,No
"Ventes immobilières : cartographier, comparer, analyser les transactions",Demandes de valeurs foncières géolocalisées,https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres-geolocalisees/,Logement et urbanisme,Visualisation,Spallian,https://www.data.gouv.fr/fr/reuses/ventes-immobilieres-cartographier-comparer-analyser-les-transactions/,No,,Yes
Tableau de bord des prix de l'immobilier en France,Demandes de valeurs foncières géolocalisées,https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres-geolocalisees/,Logement et urbanisme,Visualisation,Boris Mericksay,https://www.data.gouv.fr/fr/reuses/tableau-de-bord-des-prix-de-limmobilier-en-france/,No,,No
Explorateur de données de valeur foncière (DVF),"Demandes de valeurs foncières, Demandes de valeurs foncières géolocalisées",https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres-geolocalisees/,Logement et urbanisme,Visualisation,data.gouv.fr,https://www.data.gouv.fr/fr/reuses/explorateur-de-donnees-de-valeur-fonciere-dvf/,No,,No
"Vente des Notaire par Rue , prix au m2",Demandes de valeurs foncières géolocalisées,https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres-geolocalisees/,Logement et urbanisme,Application,HomeOpen,https://www.data.gouv.fr/fr/reuses/vente-des-notaire-par-rue-prix-au-m2/,No,,No
Carte des demandes de valeurs foncières - France,Demandes de valeurs foncières géolocalisées,https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres-geolocalisees/,Logement et urbanisme,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/carte-des-demandes-de-valeurs-foncieres-france/,No,,No
Prix et ventes des terres agricoles autour de chez vous,Demandes de valeurs foncières géolocalisées,https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres-geolocalisees/,Aménagement du territoire,Application,Hectarea,https://www.data.gouv.fr/fr/reuses/prix-et-ventes-des-terres-agricoles-autour-de-chez-vous/,No,,No
,Carte des départements,https://www.data.gouv.fr/fr/datasets/carte-des-departements-2-1/#/community-reuses,,,,,Yes,,Yes
Carte des permis d'aménagement depuis 2013 en France - SITADEL,Base des permis de construire et autres autorisations d'urbanisme (Sitadel),https://www.data.gouv.fr/fr/datasets/base-des-permis-de-construire-et-autres-autorisations-durbanisme-sitadel/,Logement et urbanisme,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/carte-des-permis-damenagement-depuis-2013-en-france-sitadel/,No,,Yes
Carte des permis de démolir en France - Sitadel,Base des permis de construire et autres autorisations d'urbanisme (Sitadel),https://www.data.gouv.fr/fr/datasets/base-des-permis-de-construire-et-autres-autorisations-durbanisme-sitadel/,Logement et urbanisme,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/carte-des-permis-de-demolir-en-france-sitadel/,No,,No
Carte des permis de construire et déclarations préalables de locaux depuis 2017 - SITADEL,Base des permis de construire et autres autorisations d'urbanisme (Sitadel),https://www.data.gouv.fr/fr/datasets/base-des-permis-de-construire-et-autres-autorisations-durbanisme-sitadel/,Logement et urbanisme,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/carte-des-permis-de-construire-et-declarations-prealables-de-locaux-depuis-2017-sitadel/,No,,No
Carte des permis de construire et de déclarations préalables de logements en France - Sitadel,Base des permis de construire et autres autorisations d'urbanisme (Sitadel),https://www.data.gouv.fr/fr/datasets/base-des-permis-de-construire-et-autres-autorisations-durbanisme-sitadel/,Logement et urbanisme,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/carte-des-permis-de-construire-et-de-declarations-prealables-de-logements-en-france-sitadel/,No,,No
,FINESS Extraction du Fichier des établissements,https://www.data.gouv.fr/fr/datasets/finess-extraction-du-fichier-des-etablissements/#/community-reuses,,,,,No,,Yes
,Emissions de CO2 et de polluants des véhicules commercialisés en France,https://www.data.gouv.fr/fr/datasets/emissions-de-co2-et-de-polluants-des-vehicules-commercialises-en-france/,,,,,Yes,,No
egapro.fr,Liste des conventions collectives par entreprise (SIRET),https://www.data.gouv.fr/fr/datasets/liste-des-conventions-collectives-par-entreprise-siret/,Economie et entreprise,Visualisation,egapro.fr,https://www.data.gouv.fr/fr/reuses/agir-pour-legalite-professionnelle-1/,No,,No
Mobility Planner the Treep,Base officielle des codes postaux,https://www.data.gouv.fr/fr/datasets/base-officielle-des-codes-postaux/#/community-reuses,Transports et mobilité,Application,The Treep,https://www.data.gouv.fr/fr/reuses/mobility-planner-the-treep/,No,,Yes
"À la radio et à la télé, les femmes parlent deux fois moins que les hommes",Temps de parole des hommes et des femmes à la télévision et à la radio,https://www.data.gouv.fr/fr/datasets/temps-de-parole-des-hommes-et-des-femmes-a-la-television-et-a-la-radio/#/community-reuses,Société et démographie,Article de presse,David Doukhan,https://www.data.gouv.fr/fr/reuses/a-la-radio-et-a-la-tele-les-femmes-parlent-deux-fois-moins-que-les-hommes/,No,,No
Répartition du temps de parole dans les médias : une horloge parlante,Temps de parole des hommes et des femmes à la télévision et à la radio,https://www.data.gouv.fr/fr/datasets/temps-de-parole-des-hommes-et-des-femmes-a-la-television-et-a-la-radio/#/community-reuses,Société et démographie,Visualisation,Julia Descamps,https://www.data.gouv.fr/fr/reuses/repartition-du-temps-de-parole-dans-les-medias-une-horloge-parlante/,No,,No
Baromètre du covoiturage quotidien,Trajets réalisés en covoiturage - Registre de preuve de covoiturage,https://www.data.gouv.fr/fr/datasets/trajets-realises-en-covoiturage-registre-de-preuve-de-covoiturage/,Transports et mobilité,Visualisation,Klaxit,https://www.data.gouv.fr/fr/reuses/barometre-du-covoiturage-quotidien/,No,,Yes
"Observatoire du covoiturage ",Trajets réalisés en covoiturage - Registre de preuve de covoiturage,https://www.data.gouv.fr/fr/datasets/trajets-realises-en-covoiturage-registre-de-preuve-de-covoiturage/,Transports et mobilité,Visualisation,Observatoire du covoiturage,https://observatoire.covoiturage.gouv.fr/,No,,No
Covid-19 : le tableau de bord de l’épidémie,Synthèse des indicateurs de suivi de l'épidémie COVID-19,https://www.data.gouv.fr/fr/datasets/synthese-des-indicateurs-de-suivi-de-lepidemie-covid-19/,Santé,Visualisation,Le Monde,https://www.data.gouv.fr/fr/reuses/covid-19-le-tableau-de-bord-de-lepidemie/,No,,Yes
,Demandes de valeurs foncières,https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres/,Logement et urbanisme,Visualisation,,,No,,Yes
,Liste noire d'URLs,https://www.data.gouv.fr/fr/datasets/liste-noire-durls/,,,,,Yes,,Yes
Délits & Infractions en Île-de-France,Crimes et délits enregistrés par les services de gendarmerie et de police depuis 2012,https://www.data.gouv.fr/fr/datasets/crimes-et-delits-enregistres-par-les-services-de-gendarmerie-et-de-police-depuis-2012/,Sécurité,Visualisation,MYDRAL,https://www.data.gouv.fr/fr/reuses/delits-infractions-en-ile-de-france/,No,,Yes
,OBSOLÈTE : Le calendrier scolaire 2019-2020 et 2020-2021 / Format iCal,,,,,,Yes,N’existe plus,Yes
L'évolution des accidents sur les routes françaises depuis 2005,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,Kevin Lamarque,https://www.data.gouv.fr/fr/reuses/levolution-des-accidents-sur-les-routes-francaises-depuis-2005/,No,,Yes
Evolution de la sécurité routière depuis 1968 à nos jours,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,Cerema,https://www.data.gouv.fr/fr/reuses/evolution-de-la-securite-routiere-depuis-1968-a-nos-jours/,No,,No
Tous en selle à Paris avec le plan vélo (2015-2020) : quels risques pour le cycliste ?,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,,https://www.data.gouv.fr/fr/reuses/tous-en-selle-a-paris-avec-le-plan-velo-2015-2020-quels-risques-pour-le-cycliste/,No,,No
Les enjeux du vélotaf,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,,https://www.data.gouv.fr/fr/reuses/les-enjeux-du-velotaf/,No,,No
Machine learning pour prédire la gravité des accidents,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,,https://www.data.gouv.fr/fr/reuses/machine-learning-pour-predire-la-gravite-des-accidents/,No,,No
Carte et graphique se rapportant aux accidents de velo,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,,https://www.data.gouv.fr/fr/reuses/carte-et-graphique-se-rapportant-aux-accidents-de-velo/,No,,No
La météo des accidents de la route,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,,https://www.data.gouv.fr/fr/reuses/la-meteo-des-accidents-de-la-route/,No,,No
Infrastructures cyclables & Accidentologie,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2023/#/community-reuses,Transports et mobilité,Visualisation,ODU,https://www.data.gouv.fr/fr/reuses/infrastructures-cyclables-accidentologie/,No,,No
Accidents de la route 2023,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,Loic Bertrand,https://www.data.gouv.fr/fr/reuses/accidents-de-la-route-2023/,No,,No
"Sur les routes, qui a tué qui en 2023 ?",Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,Loïc Bertrand,https://www.data.gouv.fr/fr/reuses/sur-les-routes-qui-a-tue-qui-en-2023/,No,,No
Accidents à vélo en France,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,Loic Bertrand,https://www.data.gouv.fr/fr/reuses/accidents-a-velo-en-france/,No,,No
Accidentologie cycliste en Île-de-France,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,Loic Bertrand,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,No,,No
